Timestamp_us,Task,Event
11387763,4,S
11398036,4,E
11477763,3,S
11498036,3,E
11587763,4,S
11598036,4,E
11677763,2,S
11708030,2,E
11777763,3,S
11787763,4,S
11798036,4,E
11798841,3,E
11987763,4,S
11998036,4,E
12008764,5,S
12039035,5,E
12077763,3,S
12098036,3,E
12176763,1,S
12177763,2,S
12187763,4,S
12198034,4,E
12208037,2,E
12227037,1,E
12377763,3,S
12387763,4,S
12398036,4,E
12398841,3,E
12587763,4,S
12598036,4,E
12677763,3,S
12698031,3,E
12698793,2,S
12708764,5,S
12729787,2,E
12740037,5,E
12787763,4,S
12798036,4,E
12977763,3,S
12987763,4,S
12998036,4,E
12998841,3,E
13176763,1,S
13177763,2,S
13187763,4,S
13198034,4,E
13208037,2,E
13227030,1,E
13277763,3,S
13306034,3,E
13387763,4,S
13398036,4,E
13408764,5,S
13452034,5,E
13577763,3,S
13587763,4,S
13598036,4,E
13598841,3,E
13677763,2,S
13708030,2,E
13787763,4,S
13798036,4,E
13877763,3,S
13898036,3,E
13987763,4,S
13998036,4,E
14108764,5,S
14142035,5,E
14176763,1,S
14177763,3,S
14187763,4,S
14198031,4,E
14198810,3,E
14199545,2,S
14229034,2,E
14229846,1,E
14387763,4,S
14398036,4,E
14477763,3,S
14498036,3,E
14587763,4,S
14598036,4,E
14677763,2,S
14708030,2,E
14777763,3,S
14787763,4,S
14798036,4,E
14798841,3,E
14808764,5,S
14843028,5,E
14987763,4,S
14998036,4,E
15077763,3,S
15098036,3,E
15176763,1,S
15177763,2,S
15187763,4,S
15198034,4,E
15208036,2,E
15227031,1,E
15377763,3,S
15387763,4,S
15398036,4,E
15398841,3,E
15508764,5,S
15544039,5,E
15587763,4,S
15598036,4,E
15677763,3,S
15698031,3,E
15698793,2,S
15729035,2,E
15787763,4,S
15798036,4,E
15977763,3,S
15987763,4,S
15998036,4,E
15998841,3,E
16176763,1,S
16177763,2,S
16187763,4,S
16198034,4,E
16208037,2,E
16208764,5,S
16235036,5,E
16235859,1,E
16277763,3,S
16298036,3,E
16387763,4,S
16398036,4,E
16577763,3,S
16587763,4,S
16598036,4,E
16598841,3,E
16677763,2,S
16708030,2,E
16787763,4,S
16798036,4,E
16877763,3,S
16898036,3,E
16908764,5,S
16936029,5,E
16987763,4,S
16998036,4,E
17176763,1,S
17177763,3,S
17187763,4,S
17198031,4,E
17198810,3,E
17199545,2,S
17229027,2,E
17229831,1,E
17387763,4,S
17398036,4,E
17477763,3,S
17498029,3,E
17587763,4,S
17598036,4,E
17608764,5,S
17637028,5,E
17677763,2,S
17708028,2,E
17777763,3,S
17787763,4,S
17798037,4,E
17798834,3,E
17987763,4,S
17998036,4,E
18077763,3,S
18098029,3,E
18176763,1,S
18177763,2,S
18187763,4,S
18198037,4,E
18208036,2,E
18227030,1,E
18308764,5,S
18338029,5,E
18377763,3,S
18387763,4,S
18398037,4,E
18398834,3,E
18587763,4,S
18598036,4,E
18677763,3,S
18698035,3,E
18698826,2,S
18729029,2,E
18787763,4,S
18798036,4,E
18977763,3,S
18987763,4,S
18998037,4,E
18998834,3,E
19008764,5,S
19039039,5,E
19176763,1,S
19177763,2,S
19187763,4,S
19198037,4,E
19208037,2,E
19227029,1,E
19277763,3,S
19298029,3,E
19387763,4,S
19398036,4,E
19577763,3,S
19587763,4,S
19598037,4,E
19598834,3,E
19677763,2,S
19708028,2,E
19708765,5,S
19740028,5,E
19787763,4,S
19798036,4,E
19877763,3,S
19898029,3,E
19987763,4,S
19998036,4,E
20176763,1,S
20177763,3,S
20187763,4,S
20198031,4,E
20198810,3,E
20199545,2,S
20229035,2,E
20229849,1,E
20387763,4,S
20398036,4,E
20408764,5,S
20441028,5,E
20477763,3,S
20498029,3,E
20587763,4,S
20598036,4,E
20677763,2,S
20708028,2,E
20777763,3,S
20787763,4,S
20798037,4,E
20798834,3,E
20987763,4,S
20998036,4,E
21077763,3,S
21098029,3,E
21108764,5,S
21142037,5,E
21176763,1,S
21177763,2,S
21187763,4,S
21198037,4,E
21208037,2,E
21227029,1,E
21377763,3,S
21387763,4,S
21398037,4,E
21398834,3,E
21587763,4,S
21598036,4,E
21677763,3,S
21698035,3,E
21698826,2,S
21729035,2,E
21787763,4,S
21798036,4,E
21808764,5,S
21843030,5,E
21977763,3,S
21987763,4,S
21998036,4,E
21999117,3,E
22176763,1,S
22177763,2,S
22187763,4,S
22198034,4,E
22208036,2,E
22227037,1,E
22277763,3,S
22298029,3,E
22387763,4,S
22398031,4,E
22508764,5,S
22544036,5,E
22577763,3,S
22587763,4,S
22598036,4,E
22599117,3,E
22677763,2,S
22708028,2,E
22787763,4,S
22798031,4,E
22877763,3,S
22898029,3,E
22987763,4,S
22998031,4,E
23176763,1,S
23177763,3,S
23187763,4,S
23198035,4,E
23198819,3,E
23199548,2,S
23208764,5,S
23229780,2,E
23235035,5,E
23235869,1,E
23387763,4,S
23398031,4,E
23477763,3,S
23506035,3,E
23587763,4,S
23608027,4,E
23677763,2,S
23708028,2,E
23777763,3,S
23787763,4,S
23798036,4,E
23799117,3,E
23908764,5,S
23936039,5,E
23987763,4,S
23998031,4,E
24077763,3,S
24098029,3,E
24176763,1,S
24177763,2,S
24187763,4,S
24198034,4,E
24208036,2,E
24227037,1,E
24377763,3,S
24387763,4,S
24398036,4,E
24399117,3,E
24587763,4,S
24598031,4,E
24608764,5,S
24637028,5,E
24677763,3,S
24698035,3,E
24698826,2,S
24729029,2,E
24787763,4,S
24798031,4,E
24977763,3,S
24987763,4,S
24998036,4,E
24999117,3,E
25176763,1,S
25177763,2,S
25187763,4,S
25198034,4,E
25208030,2,E
25227030,1,E
25277763,3,S
25298029,3,E
25308764,5,S
25338029,5,E
25387763,4,S
25398031,4,E
25577763,3,S
25587763,4,S
25598036,4,E
25599117,3,E
25677763,2,S
25708028,2,E
25787763,4,S
25798031,4,E
25877763,3,S
25898029,3,E
25987763,4,S
25998031,4,E
26008764,5,S
26039039,5,E
26176763,1,S
26177763,3,S
26187763,4,S
26198035,4,E
26198819,3,E
26199548,2,S
26229027,2,E
26229847,1,E
26387763,4,S
26398031,4,E
26477763,3,S
26498029,3,E
26587763,4,S
26598031,4,E
26677763,2,S
26708028,2,E
26708765,5,S
26740028,5,E
26777763,3,S
26787763,4,S
26798036,4,E
26799117,3,E
26987763,4,S
26998031,4,E
27077763,3,S
27098029,3,E
27176763,1,S
27177763,2,S
27187763,4,S
27198034,4,E
27208036,2,E
27227037,1,E
27377763,3,S
27387763,4,S
27398036,4,E
27399117,3,E
27408764,5,S
27441028,5,E
27587763,4,S
27598031,4,E
27677763,3,S
27698035,3,E
27698826,2,S
27729029,2,E
27787763,4,S
27798031,4,E
27977763,3,S
27987763,4,S
27998036,4,E
27999117,3,E
28108764,5,S
28142037,5,E
28176763,1,S
28177763,2,S
28187763,4,S
28198034,4,E
28208036,2,E
28227031,1,E
28277763,3,S
28298029,3,E
28387763,4,S
28398031,4,E
28577763,3,S
28587763,4,S
28598036,4,E
28599117,3,E
28677763,2,S
28708028,2,E
28787763,4,S
28798031,4,E
28808764,5,S
28843030,5,E
28877763,3,S
28898029,3,E
28987763,4,S
28998031,4,E
29176763,1,S
29177763,3,S
29187763,4,S
29198035,4,E
29198819,3,E
29199548,2,S
29229027,2,E
29229847,1,E
29387763,4,S
29398031,4,E
29477763,3,S
29498029,3,E
29508764,5,S
29544036,5,E
29587763,4,S
29598031,4,E
29677763,2,S
29708028,2,E
29777763,3,S
29787763,4,S
29798036,4,E
29799117,3,E
29987763,4,S
29998031,4,E
30077763,3,S
30098029,3,E
30176763,1,S
30177763,2,S
30187763,4,S
30198034,4,E
30208030,2,E
30208764,5,S
30235035,5,E
30235860,1,E
30377763,3,S
30387763,4,S
30398036,4,E
30399117,3,E
30587763,4,S
30598031,4,E
30677763,3,S
30698035,3,E
30698826,2,S
30729035,2,E
30787763,4,S
30798031,4,E
30908764,5,S
30936039,5,E
30977763,3,S
30987763,4,S
30998036,4,E
30999117,3,E
31176763,1,S
31177763,2,S
31187763,4,S
31198034,4,E
31208036,2,E
31227037,1,E
31277763,3,S
31298029,3,E
31387763,4,S
31398031,4,E
31577763,3,S
31587763,4,S
31598036,4,E
31599117,3,E
31608764,5,S
31637028,5,E
31677763,2,S
31708028,2,E
31787763,4,S
31798031,4,E
31877763,3,S
31898036,3,E
31987763,4,S
31998031,4,E
32176763,1,S
32177763,3,S
32187763,4,S
32198031,4,E
32198808,3,E
32200056,2,S
32230036,2,E
32230833,1,E
32308764,5,S
32338029,5,E
32387763,4,S
32398031,4,E
32477763,3,S
32498036,3,E
32587763,4,S
32598031,4,E
32677763,2,S
32708028,2,E
32777763,3,S
32787763,4,S
32798034,4,E
32798851,3,E
32987763,4,S
32998031,4,E
33008764,5,S
33039039,5,E
33077763,3,S
33098036,3,E
33176763,1,S
33177763,2,S
33187763,4,S
33198034,4,E
33208036,2,E
33227031,1,E
33377763,3,S
33387763,4,S
33398034,4,E
33398851,3,E
33587763,4,S
33598031,4,E
33677763,3,S
33678114,2,S
33704029,3,E
33708764,5,S
33734029,2,E
33740030,5,E
33787763,4,S
33798037,4,E
33977763,3,S
33987763,4,S
33998034,4,E
33998851,3,E
34176763,1,S
34177763,2,S
34187763,4,S
34198034,4,E
34208036,2,E
34227031,1,E
34277763,3,S
34298036,3,E
34387763,4,S
34398035,4,E
34408764,5,S
34441037,5,E
34577763,3,S
34587763,4,S
34598034,4,E
34598851,3,E
34677763,2,S
34708030,2,E
34787763,4,S
34798035,4,E
34877763,3,S
34898036,3,E
34987763,4,S
34998035,4,E
35108764,5,S
35142035,5,E
35176763,1,S
35177763,3,S
35187763,4,S
35198031,4,E
35198808,3,E
35199847,2,S
35230035,2,E
35230826,1,E
35387763,4,S
35398035,4,E
35477763,3,S
35498036,3,E
35587763,4,S
35598035,4,E
35677763,2,S
35708030,2,E
35777763,3,S
35787763,4,S
35798034,4,E
35798851,3,E
35808764,5,S
35843028,5,E
35987763,4,S
35998035,4,E
36077763,3,S
36098036,3,E
36176763,1,S
36177763,2,S
36187763,4,S
36198035,4,E
36208037,2,E
36227037,1,E
36377763,3,S
36387763,4,S
36398034,4,E
36398851,3,E
36508764,5,S
36544039,5,E
36587763,4,S
36598035,4,E
36677763,3,S
36698034,3,E
36698826,2,S
36729030,2,E
36787763,4,S
36798035,4,E
36977763,3,S
36987763,4,S
36998034,4,E
36998851,3,E
37176763,1,S
37177763,2,S
37187763,4,S
37198035,4,E
37208039,2,E
37208765,5,S
37235035,5,E
37235869,1,E
37277763,3,S
37298036,3,E
37387763,4,S
37398035,4,E
37577763,3,S
37587763,4,S
37598034,4,E
37598851,3,E
37677763,2,S
37708030,2,E
37787763,4,S
37798035,4,E
37877763,3,S
37898036,3,E
37908764,5,S
37936029,5,E
37987763,4,S
37998035,4,E
38176763,1,S
38177763,3,S
38187763,4,S
38198031,4,E
38198808,3,E
38199847,2,S
38230035,2,E
38230826,1,E
38387763,4,S
38398035,4,E
38477763,3,S
38498036,3,E
38587763,4,S
38598035,4,E
38608764,5,S
38637039,5,E
38677763,2,S
38708030,2,E
38777763,3,S
38787763,4,S
38798034,4,E
38798851,3,E
38987763,4,S
38998035,4,E
39077763,3,S
39098036,3,E
39176763,1,S
39177763,2,S
39187763,4,S
39198035,4,E
39208039,2,E
39227030,1,E
39308764,5,S
39338028,5,E
39377763,3,S
39387763,4,S
39398034,4,E
39398851,3,E
39587763,4,S
39598035,4,E
39677763,3,S
39698034,3,E
39698826,2,S
39729030,2,E
39787763,4,S
39798035,4,E
39977763,3,S
39987763,4,S
39998034,4,E
39998851,3,E
40008764,5,S
40039035,5,E
40176763,1,S
40177763,2,S
40187763,4,S
40198035,4,E
40208037,2,E
40227030,1,E
40277763,3,S
40298036,3,E
40387763,4,S
40398035,4,E
40577763,3,S
40587763,4,S
40598034,4,E
40598851,3,E
40677763,2,S
40708030,2,E
40708765,5,S
40740028,5,E
40787763,4,S
40798035,4,E
40877763,3,S
40898036,3,E
40987763,4,S
40998035,4,E
41176763,1,S
41177763,3,S
41187763,4,S
41198031,4,E
41198808,3,E
41199847,2,S
41230027,2,E
41230831,1,E
41387763,4,S
41398035,4,E
41408764,5,S
41441037,5,E
41477763,3,S
41498036,3,E
41587763,4,S
41598035,4,E
41677763,2,S
41708030,2,E
41777763,3,S
41787763,4,S
41798034,4,E
41798851,3,E
41987763,4,S
41998035,4,E
42077763,3,S
42098036,3,E
42108764,5,S
42142035,5,E
42176763,1,S
42177763,2,S
42187763,4,S
42198035,4,E
42208037,2,E
42227030,1,E
42377763,3,S
42387763,4,S
42398034,4,E
42398851,3,E
42587763,4,S
42598035,4,E
42677763,3,S
42698034,3,E
42698826,2,S
42729028,2,E
42787763,4,S
42798035,4,E
42808764,5,S
42843028,5,E
42977763,3,S
42987763,4,S
42998034,4,E
42998851,3,E
43176763,1,S
43177763,2,S
43187763,4,S
43198035,4,E
43208037,2,E
43227037,1,E
43277763,3,S
43298036,3,E
43387763,4,S
43398035,4,E
43508764,5,S
43544039,5,E
43577763,3,S
43587763,4,S
43598034,4,E
43598851,3,E
43677763,2,S
43708030,2,E
43787763,4,S
43798035,4,E
43877763,3,S
43906037,3,E
43987763,4,S
44008028,4,E
44176763,1,S
44177763,3,S
44187763,4,S
44198031,4,E
44198808,3,E
44199847,2,S
44208764,5,S
44230038,2,E
44235035,5,E
44235866,1,E
44387763,4,S
44398035,4,E
44477763,3,S
44498036,3,E
44587763,4,S
44598035,4,E
44677763,2,S
44708030,2,E
44777763,3,S
44787763,4,S
44798034,4,E
44798851,3,E
44908764,5,S
44936029,5,E
44987763,4,S
44998035,4,E
45077763,3,S
45098036,3,E
45176763,1,S
45177763,2,S
45187763,4,S
45198035,4,E
45208037,2,E
45227037,1,E
45377763,3,S
45387763,4,S
45398034,4,E
45398851,3,E
45587763,4,S
45598035,4,E
45608764,5,S
45637039,5,E
45677763,3,S
45698034,3,E
45698826,2,S
45729028,2,E
45787763,4,S
45798035,4,E
45977763,3,S
45987763,4,S
45998034,4,E
45998851,3,E
46176763,1,S
46177763,2,S
46187763,4,S
46198035,4,E
46208039,2,E
46227030,1,E
46277763,3,S
46298036,3,E
46308764,5,S
46338028,5,E
46387763,4,S
46398035,4,E
46577763,3,S
46587763,4,S
46598034,4,E
46598851,3,E
46677763,2,S
46708030,2,E
46787763,4,S
46798035,4,E
46877763,3,S
46898036,3,E
46987763,4,S
46998035,4,E
47008764,5,S
47039035,5,E
47176763,1,S
47177763,3,S
47187763,4,S
47198031,4,E
47198808,3,E
47199847,2,S
47230035,2,E
47230823,1,E
47387763,4,S
47398035,4,E
47477763,3,S
47498036,3,E
47587763,4,S
47598035,4,E
47677763,2,S
47708030,2,E
47708765,5,S
47740028,5,E
47777763,3,S
47787763,4,S
47798034,4,E
47798851,3,E
47987763,4,S
47998035,4,E
48077763,3,S
48098036,3,E
48176763,1,S
48177763,2,S
48187763,4,S
48198035,4,E
48208037,2,E
48227037,1,E
48377763,3,S
48387763,4,S
48398034,4,E
48398851,3,E
48408764,5,S
48441037,5,E
48587763,4,S
48598035,4,E
48677763,3,S
48698034,3,E
48698826,2,S
48729028,2,E
48787763,4,S
48798035,4,E
48977763,3,S
48987763,4,S
48998034,4,E
48998851,3,E
49108764,5,S
49142035,5,E
49176763,1,S
49177763,2,S
49187763,4,S
49198035,4,E
49208037,2,E
49227030,1,E
49277763,3,S
49298036,3,E
49387763,4,S
49398035,4,E
49577763,3,S
49587763,4,S
49598034,4,E
49598851,3,E
49677763,2,S
49708030,2,E
49787763,4,S
49798035,4,E
49808764,5,S
49843028,5,E
49877763,3,S
49898036,3,E
49987763,4,S
49998035,4,E
50176763,1,S
50177763,3,S
50187763,4,S
50198031,4,E
50198808,3,E
50199847,2,S
50230035,2,E
50230826,1,E
50387763,4,S
50398035,4,E
50477763,3,S
50498036,3,E
50508764,5,S
50544039,5,E
50587763,4,S
50598035,4,E
50677763,2,S
50708030,2,E
50777763,3,S
50787763,4,S
50798034,4,E
50798851,3,E
50987763,4,S
50998035,4,E
51077763,3,S
51098036,3,E
51176763,1,S
51177763,2,S
51187763,4,S
51198035,4,E
51208039,2,E
51208765,5,S
51235037,5,E
51236114,1,E
51377763,3,S
51387763,4,S
51398034,4,E
51398851,3,E
51587763,4,S
51598035,4,E
51677763,3,S
51698034,3,E
51698826,2,S
51729028,2,E
51787763,4,S
51798035,4,E
51908764,5,S
51936029,5,E
51977763,3,S
51987763,4,S
51998034,4,E
51998851,3,E
52176763,1,S
52177763,2,S
52187763,4,S
52198029,4,E
52208036,2,E
52227037,1,E
52277763,3,S
52298036,3,E
52387763,4,S
52398035,4,E
52577763,3,S
52587763,4,S
52598034,4,E
52598851,3,E
52608764,5,S
52637039,5,E
52677763,2,S
52708035,2,E
52787763,4,S
52798035,4,E
52877763,3,S
52898036,3,E
52987763,4,S
52998035,4,E
53176763,1,S
53177763,3,S
53187763,4,S
53198031,4,E
53198808,3,E
53199847,2,S
53230035,2,E
53230813,1,E
53308764,5,S
53338028,5,E
53387763,4,S
53398035,4,E
53477763,3,S
53498036,3,E
53587763,4,S
53598035,4,E
53677763,2,S
53708035,2,E
53777763,3,S
53787763,4,S
53798034,4,E
53798851,3,E
53987763,4,S
53998035,4,E
54008764,5,S
54039035,5,E
54077763,3,S
54104029,3,E
54176763,1,S
54177763,2,S
54187763,4,S
54198034,4,E
54208037,2,E
54227028,1,E
54377763,3,S
54387763,4,S
54398034,4,E
54398851,3,E
54587763,4,S
54598035,4,E
54677763,3,S
54698034,3,E
54698826,2,S
54708764,5,S
54729788,2,E
54740030,5,E
54787763,4,S
54798035,4,E
54977763,3,S
54987763,4,S
54998034,4,E
54998851,3,E
55176763,1,S
55177763,2,S
55187763,4,S
55198029,4,E
55208037,2,E
55227029,1,E
55277763,3,S
55298036,3,E
55387763,4,S
55398035,4,E
55408764,5,S
55441037,5,E
55577763,3,S
55587763,4,S
55598034,4,E
55598851,3,E
55677763,2,S
55708035,2,E
55787763,4,S
55798035,4,E
55877763,3,S
55898036,3,E
55987763,4,S
55998035,4,E
56108764,5,S
56142035,5,E
56176763,1,S
56177763,3,S
56187763,4,S
56198031,4,E
56198808,3,E
56199847,2,S
56230035,2,E
56230813,1,E
56387763,4,S
56398035,4,E
56477763,3,S
56498036,3,E
56587763,4,S
56598035,4,E
56677763,2,S
56708035,2,E
56777763,3,S
56787763,4,S
56798034,4,E
56798851,3,E
56808764,5,S
56843028,5,E
56987763,4,S
56998035,4,E
57077763,3,S
57098036,3,E
57176763,1,S
57177763,2,S
57187763,4,S
57198029,4,E
57208037,2,E
57227029,1,E
57377763,3,S
57387763,4,S
57398034,4,E
57398851,3,E
57508764,5,S
57544039,5,E
57587763,4,S
57598035,4,E
57677763,3,S
57698034,3,E
57698826,2,S
57729035,2,E
57787763,4,S
57798035,4,E
57977763,3,S
57987763,4,S
57998034,4,E
57998851,3,E
58176763,1,S
58177763,2,S
58187763,4,S
58198029,4,E
58208037,2,E
58208765,5,S
58235035,5,E
58235866,1,E
58277763,3,S
58298036,3,E
58387763,4,S
58398035,4,E
58577763,3,S
58587763,4,S
58598034,4,E
58598851,3,E
58677763,2,S
58708035,2,E
58787763,4,S
58798035,4,E
58877763,3,S
58898036,3,E
58908764,5,S
58936029,5,E
58998035,4,E
59176763,1,S
59177763,3,S
59187763,4,S
59198031,4,E
59198808,3,E
59199847,2,S
59230036,2,E
59230826,1,E
59387763,4,S
59398035,4,E
59477763,3,S
59498036,3,E
59587763,4,S
59598035,4,E
59608764,5,S
59637039,5,E
59677763,2,S
59708035,2,E
59777763,3,S
59787763,4,S
59798034,4,E
59798851,3,E
59987763,4,S
59998035,4,E
60077763,3,S
60098036,3,E
60176763,1,S
60177763,2,S
60187763,4,S
60198029,4,E
60208037,2,E
60227030,1,E
60308764,5,S
60338028,5,E
60377763,3,S
60387763,4,S
60398034,4,E
60398851,3,E
60587763,4,S
60598035,4,E
60677763,3,S
60698034,3,E
60698826,2,S
60729035,2,E
60787763,4,S
60798035,4,E
60977763,3,S
60987763,4,S
60998034,4,E
60998851,3,E
61008764,5,S
61039035,5,E
61176763,1,S
61177763,2,S
61187763,4,S
61198029,4,E
61208037,2,E
61227037,1,E
61277763,3,S
61298036,3,E
61387763,4,S
61398035,4,E
61587763,4,S
61598034,4,E
61598851,3,E
61677763,2,S
61708035,2,E
61708764,5,S
61740039,5,E
61787763,4,S
61798035,4,E
61877763,3,S
61898036,3,E
61987763,4,S
61998035,4,E
62176763,1,S
62177763,3,S
62187763,4,S
62198031,4,E
62198808,3,E
62199847,2,S
62230035,2,E
62230813,1,E
62387763,4,S
62398035,4,E
62408764,5,S
62441037,5,E
62477763,3,S
62498036,3,E
62587763,4,S
62598035,4,E
62677763,2,S
62708035,2,E
62777763,3,S
62787763,4,S
62798034,4,E
62798851,3,E
62987763,4,S
62998035,4,E
63077763,3,S
63098032,3,E
63108764,5,S
63142035,5,E
63176763,1,S
63177763,2,S
63187763,4,S
63198029,4,E
63208037,2,E
63227037,1,E
63377763,3,S
63387763,4,S
63398035,4,E
63398832,3,E
